epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2314,1.3787,3.78198,1.65806,0.00298,0.33333,0.01312,0.00873,1.39637,4.11404,1.58718,1.111e-05,1.111e-05,1.111e-05
2,88.9548,1.34546,3.75953,1.62892,0.003,0.33333,0.01709,0.01193,1.40684,4.10064,1.60011,3.3e-05,3.3e-05,3.3e-05
3,121.448,1.33352,3.67277,1.69767,0.00385,0.38889,0.02978,0.01507,1.40045,4.1128,1.57897,5.44501e-05,5.44501e-05,5.44501e-05
4,148.262,1.38011,3.70369,1.68123,0.00375,0.33333,0.0393,0.02053,1.34145,4.11116,1.54327,7.54602e-05,7.54602e-05,7.54602e-05
5,179.781,1.36786,3.52277,1.65485,0.00696,0.44444,0.04687,0.02205,1.32253,4.0719,1.50461,9.60304e-05,9.60304e-05,9.60304e-05
6,217.337,1.45608,3.53751,1.62037,0.00826,0.72222,0.03714,0.01814,1.22759,4.05249,1.41653,0.000116161,0.000116161,0.000116161
7,240.896,1.36524,3.38041,1.58476,0.0096,0.72222,0.04916,0.02775,1.21871,4.06004,1.37854,0.000135851,0.000135851,0.000135851
8,262.452,1.37902,3.14403,1.56435,0.01254,0.77778,0.08804,0.05015,1.21783,4.02896,1.38384,0.000155101,0.000155101,0.000155101
9,283.033,1.30702,3.09612,1.61803,0.01328,0.77778,0.10277,0.05835,1.18,4.00681,1.34586,0.000173911,0.000173911,0.000173911
10,304.425,1.30095,2.9756,1.59265,0.01183,0.72222,0.101,0.05943,1.17758,3.99994,1.3336,0.000192282,0.000192282,0.000192282
11,325.106,1.27719,2.74152,1.52038,0.01284,0.72222,0.10926,0.0627,1.1841,3.98551,1.35925,0.000210212,0.000210212,0.000210212
12,345.861,1.2286,2.60365,1.5275,0.01099,0.66667,0.0983,0.05602,1.30834,3.93836,1.43843,0.000227703,0.000227703,0.000227703
13,368.594,1.32546,2.74558,1.50751,0.01103,0.66667,0.11886,0.0667,1.31117,4.00835,1.42226,0.000244753,0.000244753,0.000244753
14,389.302,1.24052,2.44487,1.51265,0.01186,0.66667,0.11334,0.06334,1.2832,4.06074,1.40462,0.000261364,0.000261364,0.000261364
15,409.875,1.20001,2.28681,1.47367,0.00951,0.61111,0.08247,0.04804,1.48161,4.06208,1.53526,0.000277534,0.000277534,0.000277534
16,431.139,1.32846,2.5235,1.60369,0.00714,0.55556,0.04851,0.03455,1.55121,4.09325,1.57367,0.000293265,0.000293265,0.000293265
17,454.461,1.27309,2.45521,1.55786,0.01037,0.61111,0.04232,0.02469,1.67435,4.23504,1.62212,0.000308556,0.000308556,0.000308556
18,476.699,1.1724,2.23073,1.43509,0.01128,0.61111,0.05158,0.03197,1.73764,4.19098,1.64751,0.000323407,0.000323407,0.000323407
19,497.563,1.31979,2.293,1.52532,0.01184,0.61111,0.06639,0.04129,1.72152,4.19516,1.63937,0.000337817,0.000337817,0.000337817
20,517.594,1.18937,2.21878,1.44316,0.01283,0.61111,0.08204,0.05254,1.65639,4.10018,1.6002,0.000351788,0.000351788,0.000351788
21,537.775,1.11682,2.08021,1.46693,0.01364,0.61111,0.14122,0.09527,1.59687,4.00564,1.57345,0.000365319,0.000365319,0.000365319
22,555.943,1.21474,2.14256,1.49946,0.01496,0.61111,0.12584,0.08841,1.64539,3.96242,1.5898,0.00037841,0.00037841,0.00037841
23,574.889,1.28982,2.1344,1.50776,0.0144,0.61111,0.15764,0.11903,1.55204,3.93223,1.51355,0.000391061,0.000391061,0.000391061
24,593.391,1.25208,2.16814,1.47642,0.01327,0.61111,0.14905,0.10967,1.58088,3.89963,1.53216,0.000403272,0.000403272,0.000403272
